lat,lon,store
-7.02964,112.74966,U281
-7.11882,112.40725,U283
-7.13379,112.43193,U270
-7.25032,112.7926,U269
-7.22747,112.76361,U401
-6.32509,106.09132,T370
-8.64582,115.16839,Q073
-4.18387,104.60907,P004
-6.48653,107.39262,CA35
-5.17024,119.41226,R153
-6.92484,107.65434,B494
-5.20306,119.45082,R035
-7.75522,111.52518,O249
-7.72014,111.50653,O248
-6.70434,111.24189,H511
-3.84431,104.89824,P130
-6.93135,107.61257,B318
-6.24726,106.83189,K884
-7.66103,109.15802,I323
-3.24967,104.67224,P106
-7.63337,109.24377,I334
-3.99695,119.63632,R202
-6.90802,110.79994,H483
-7.29147,112.76238,U213
-7.15382,112.61474,U142
-7.17203,112.72217,U150
-7.48605,108.80501,I319
-6.75821,111.48897,H509
-2.99509,104.81108,P047
-6.26926,106.83777,K891
-7.15274,112.51756,U298
-7.29717,112.63481,U260
-5.11751,119.41793,R002
-4.44186,104.74596,L280
-8.07897,111.92699,M533
-2.92814,104.71652,P066
-5.089,119.52835,R021
-7.97478,112.6733,M486
-7.12686,112.09952,U186
-6.3115,106.10642,T585
-7.84502,110.21841,O316
-7.36447,112.71457,U349
-6.30228,106.82645,KA91
-6.30473,106.85028,EG53
-7.46503,112.22751,M662
-7.39575,109.56503,I416
-7.5997,108.92119,I283
-8.25402,113.74261,Y217
-6.67603,107.585,CC52
-6.62906,107.40406,CC53
-6.21594,106.63889,AD77
-6.24911,106.85861,K774
-6.24995,106.8364,K769
-4.82363,104.88835,L445
2.95986,99.07267,W151
-5.16435,119.4697,R276
-6.87759,109.2783,V437
-6.1418,106.83908,J777
-7.68188,108.66402,B828
-7.31698,108.30636,B518
-7.82833,111.98669,M630
-8.14707,112.14406,M471
-7.61325,109.36148,I017
-7.60847,109.51075,I026
-7.40856,109.08296,I139
-6.141,106.53608,T092
-7.40399,111.05748,O302
-8.08887,112.17379,M049
-7.66091,111.86846,M111
-7.6689,109.61837,I187
-7.4079,109.23534,I198
-6.30402,106.95627,EF06
-7.69553,110.49362,O152
-7.16434,111.61142,U534
-4.02928,104.75231,P007
-7.58629,110.81568,O121
-7.42713,109.26466,I230
3.62285,98.6798,W095
3.54364,98.69875,W169
-8.61889,116.25074,Q251
-3.40929,104.25543,P098
-6.34733,106.87441,EF45
-6.33327,106.89414,EF42
-6.17708,106.44042,T122
-7.96774,112.68614,M751
-6.42025,107.78798,N519
-3.28121,102.88999,P382
-7.32975,108.36415,B660
-7.3465,108.5165,B826
-7.75523,110.36219,O071
-4.76302,105.21904,P354
-7.97813,113.89059,Y219
-8.76001,115.17609,Q255
-7.69969,112.85536,Y221
0.53158,101.46611,1A97
-2.97511,104.77218,P114
0.45005,101.45618,1A71
0.55975,101.43672,1A69
-7.64376,112.23703,M753
-7.67368,110.83961,O091
-8.28082,113.53931,Y058
3.62017,98.70754,W146
-6.92924,107.60079,B864
-6.37014,108.29956,V441
-7.7472,108.01204,B632
-3.00943,104.7463,P090
-6.91307,107.48005,N522
-8.08719,111.90756,M766
-6.21883,106.96428,EF81
-6.93913,107.67718,B971
-7.01861,107.60354,B952
-3.78147,103.56163,P380
-7.2175,112.09438,U519
-7.54406,110.79074,O455
-6.31294,107.1528,C868
-7.55472,110.87152,O041
-7.95272,110.67819,O040
-4.2412,105.2565,P368
-6.50286,107.55075,CC38
-5.15647,119.41804,R136
3.54261,98.65547,W025
-1.59208,103.62833,1D65
-6.94593,107.66277,B975
-6.89703,107.61978,B953
-7.00211,110.47129,H643
3.56287,98.61922,W048
-7.60403,110.21067,O059
-8.19617,111.11104,O278
-5.04064,119.56856,R151
-6.93366,107.4976,N431
-2.9424,104.77521,P061
-6.34936,106.80175,EG52
-6.99299,107.58332,B798
-6.77802,106.01776,T418
-7.64931,111.04727,O045
-7.04367,109.89994,H655
-6.2846,107.81517,N457
-4.54043,120.33295,R184
-6.16166,106.7846,K951
-6.81428,107.95054,B059
-6.83921,107.91069,B982
-3.40093,104.82746,P206
3.51389,98.63309,W096
-7.68322,112.95711,Y176
-7.5858,112.79157,Y179
-6.97644,109.11982,V424
-6.40546,106.31262,T656
-7.82646,112.7186,M756
-1.60624,103.64675,1D01
-7.72522,109.01343,I156
-6.94095,107.5639,N007
-6.91787,107.57862,N223
-5.17285,119.421,R003
-6.90407,107.66675,B741
0.48618,101.49507,1A96
-7.54917,111.66376,O489
0.45301,101.39261,1A31
-7.66837,112.90189,Y183
-7.65529,112.9123,Y185
-7.70048,112.83434,Y190
-8.18467,113.87275,Y202
-7.58945,110.74544,O030
-1.63544,103.66937,1D09
-6.17789,106.63361,T885
-8.57149,116.07752,Q171
-6.16586,106.56753,T085
-6.17797,106.61948,T329
-6.98044,110.40294,H374
-7.00347,110.39947,H141
-8.16136,115.02785,Q019
-5.13977,119.42992,R049
-5.17239,119.47996,R053
-7.30706,112.76316,U038
-7.32079,112.78922,U057
-7.32943,110.50069,H583
-4.26888,105.48788,1VC9
